m2,date,price,floor,,,
79.24,20090808,870000000,10,,,
79.24,20090810,900000000,6,,,
60.96,20090813,740000000,4,,,
79.24,20090814,900000000,12,,,
79.24,20090815,920000000,4,,,
156.99,20090825,1485000000,11,,,
156.99,20090827,1000000000,2,,,
79.24,20090829,900000000,7,,,
60.96,20090831,715000000,12,,,
79.24,20090902,910000000,2,,,
118.12,20090911,1200000000,11,,,
60.96,20090914,700000000,8,,,
60.96,20090922,700000000,13,,,
79.24,20090923,910000000,5,,,
79.24,20090923,915000000,11,,,
118.12,20090926,1200000000,3,,,
60.96,20091009,690000000,13,,,
60.96,20091011,710000000,5,,,
60.96,20091013,705000000,6,,,
118.12,20091027,1200000000,11,,,
156.99,20091111,1450000000,12,,,
60.96,20091116,705000000,11,,,
118.12,20091117,1160000000,2,,,
79.24,20091118,870000000,11,,,
156.99,20091120,1540000000,8,,,
79.24,20091202,872000000,5,,,
118.12,20091202,1172000000,4,,,
60.96,20091202,730000000,3,,,
118.12,20091209,1175000000,10,,,
60.96,20091210,719000000,4,,,
118.12,20091217,1142000000,8,,,
79.24,20091223,870000000,12,,,
156.99,20100108,1420000000,11,,,
60.96,20100108,705000000,2,,,
118.12,20100116,1200000000,5,,,
60.96,20100116,745000000,7,,,
79.24,20100116,883000000,10,,,
118.12,20100118,1180000000,3,,,
156.99,20100119,1450000000,2,,,
60.96,20100204,753000000,4,,,
118.12,20100211,1160000000,7,,,
79.24,20100302,890000000,3,,,
79.24,20100309,897000000,10,,,
156.99,20100323,1330000000,7,,,
60.96,20100503,730000000,5,,,
79.24,20100507,840000000,1,,,
79.24,20100527,730000000,10,,,
60.96,20100608,625000000,13,,,
79.24,20100608,755000000,10,,,
118.12,20100612,965000000,12,,,
79.24,20100701,710000000,1,,,
60.96,20100702,614000000,10,,,
118.12,20100705,990000000,4,,,
60.96,20100706,605000000,4,,,
118.12,20100719,1095000000,8,,,
79.24,20100820,770000000,12,,,
118.12,20100903,1020000000,5,,,
79.24,20100908,790000000,11,,,
79.24,20101005,735000000,5,,,
118.12,20101030,1010000000,8,,,
156.99,20101110,1250000000,10,,,
156.99,20101112,1210000000,5,,,
118.12,20101120,1010000000,5,,,
156.99,20101203,1260000000,3,,,
156.99,20101213,1200000000,1,,,
118.12,20101213,1037000000,10,,,
79.24,20101214,780000000,2,,,
156.99,20101222,1200000000,6,,,
118.12,20101230,1010000000,6,,,
79.24,20110118,779000000,1,,,
60.96,20110205,630000000,10,,,
156.99,20110213,1317000000,8,,,
79.24,20110215,810000000,2,,,
79.24,20110219,825000000,12,,,
79.24,20110304,815000000,6,,,
118.12,20110304,1080000000,9,,,
